
Time     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:56:34     all   61.62    0.00   38.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:35     all   74.44    0.00   24.44    0.00    0.00    1.11    0.00    0.00    0.00    0.00
20:56:36     all   84.21    0.00   15.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:37     all   64.58    0.00   35.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:38     all   63.16    0.00   36.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:39     all   60.82    0.00   39.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:40     all   63.92    0.00   36.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:41     all   64.29    0.00   35.71    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:42     all   63.92    0.00   36.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:43     all   61.46    0.00   37.50    0.00    0.00    1.04    0.00    0.00    0.00    0.00
20:56:44     all   75.79    0.00   24.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:45     all   87.63    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:46     all   64.95    0.00   35.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:47     all   65.26    0.00   34.74    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:48     all   62.11    0.00   37.89    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:49     all   64.21    0.00   35.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:50     all   63.54    0.00   36.46    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:51     all   62.11    0.00   37.89    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:52     all   65.22    0.00   34.78    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:53     all   63.27    0.00   35.71    0.00    0.00    1.02    0.00    0.00    0.00    0.00
20:56:54     all   97.92    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:55     all   62.50    0.00   37.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:56     all   63.16    0.00   36.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:57     all   64.21    0.00   35.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:58     all   64.58    0.00   35.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:56:59     all   62.89    0.00   37.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:00     all   62.24    0.00   37.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:01     all   62.50    0.00   37.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:02     all   70.97    0.00   29.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:03     all   70.83    0.00   29.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:04     all   68.37    0.00   31.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:05     all   80.65    0.00   19.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:06     all   85.42    0.00   14.58    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:07     all   62.89    0.00   37.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:08     all   65.62    0.00   34.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:09     all   64.58    0.00   35.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:10     all   64.95    0.00   34.02    0.00    0.00    1.03    0.00    0.00    0.00    0.00
20:57:11     all   72.63    0.00   26.32    0.00    0.00    1.05    0.00    0.00    0.00    0.00
20:57:12     all   73.68    0.00   25.26    0.00    0.00    1.05    0.00    0.00    0.00    0.00
20:57:13     all   74.19    0.00   25.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:14     all   73.68    0.00   25.26    0.00    0.00    1.05    0.00    0.00    0.00    0.00
20:57:15     all   74.23    0.00   25.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:16     all   66.33    0.00   32.65    0.00    0.00    1.02    0.00    0.00    0.00    0.00
20:57:17     all   93.48    0.00    4.35    0.00    0.00    2.17    0.00    0.00    0.00    0.00
20:57:18     all   71.88    0.00   28.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:19     all   67.01    0.00   32.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:20     all   70.53    0.00   29.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:21     all   72.73    0.00   27.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:22     all   69.57    0.00   29.35    0.00    0.00    1.09    0.00    0.00    0.00    0.00
20:57:23     all   75.76    0.00   24.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:24     all   67.37    0.00   32.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:25     all   66.32    0.00   33.68    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:26     all   65.31    0.00   34.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:27     all   64.95    0.00   35.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:57:28     all   91.76    0.00    7.06    0.00    0.00    1.18    0.00    0.00    0.00    0.00
Average:     all   68.90    0.00   30.93    0.00    0.00    0.17    0.00    0.00    0.00    0.00
